fid;nama tempat;url tempat;alamat;nomor telepon;latitude;longitude;latilong;kategori gmaps;website;rating;review terbaru;status review;input direktori;modifikasi;kk;gid;bstt;luas;bsbtt;idsls;kdkab;kdkec;kdsls;nmkab;nmkec;nmsls;bstt_k;kddesa;kdprov;khusus;muatan;nmdesa;nmprov;posisi;segmen;subsls;sumber;dom_sls;periode;tingkat;idsubsls;nm_gedung;wil_campur
11;SNIPER CI IN CI (GUNSHOP 88);https://www.google.com/maps/place/SNIPER+CI+IN+CI+(GUNSHOP+88)/@-1.187394,116.9934297,17z/data=!4m6!3m5!1s0x2df1515ad6dea21d:0xdbb2bd9f5d6cc9d8!8m2!3d-1.187394!4d116.9934297!16s%2Fg%2F11t53vc15c?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;RX6V+QMV, Lamaru, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur 76118;Nomor telepon tidak ditemukan;-1,187394;116,9934297;-1.187394,116.9934297;Toko Airsoft Gun;Website tidak ditemukan;3,7;setahun lalu;Ulasan terbaru tanpa label 'NEW';toko senjatadi kota balikpapan;17/06/2025;;212513;;0,317069444;;6,47102E+13;71;020;0031;BALIKPAPAN;BALIKPAPAN TIMUR;RT 31;;003;64;;;LEMARU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
12;rentalmobilbpp354;https://www.google.com/maps/place/rentalmobilbpp354/@-1.2701875,116.8471373,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470014c4eecb:0xe2a902d56575f21f!8m2!3d-1.2701875!4d116.8471373!16s%2Fg%2F11xcllw8kn?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PRJW+3XJ, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0852-4692-0354;-1,2701875;116,8471373;-1.2701875,116.8471373;Agen Sewa Mobil;Website tidak ditemukan;5,0;seminggu lalu;Ulasan terbaru berlabel 'NEW';balikpapan;28/05/2023;;213268;;0,009996966;;6,47101E+13;71;011;0062;BALIKPAPAN;BALIKPAPAN KOTA;RT 62;;004;64;;;KLANDASAN ILIR;KALIMANTAN TIMUR;;;;;;2023_1;;;;
13;Mie Pedas Rempah / Mie Dower 62;https://www.google.com/maps/place/Mie+Pedas+Rempah+%2F+Mie+Dower+62/@-1.2705814,116.8468263,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147d067c370cf:0x2c05d88ed5691e78!8m2!3d-1.2705814!4d116.8468263!16s%2Fg%2F11rkl6zkhj?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. Mayjend Sutoyo Gg. Lestari No.90, RT.62, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76113;0878-7001-6041;-1,2705814;116,8468263;-1.2705814,116.8468263;Restoran Mie;instagram.com;5,0;6 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213268;;0,009996966;;6,47101E+13;71;011;0062;BALIKPAPAN;BALIKPAPAN KOTA;RT 62;;004;64;;;KLANDASAN ILIR;KALIMANTAN TIMUR;;;;;;2023_1;;;;
14;Kos-Kosan/Kontrakan/Sewa Rumah;https://www.google.com/maps/place/Kos-Kosan%2FKontrakan%2FSewa+Rumah/@-1.2706094,116.8470514,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147dd11f1c4c7:0x1b121a21a62021d3!8m2!3d-1.2706094!4d116.8470514!16s%2Fg%2F11l2cnn4s9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. Mayjend Sutoyo, RT.62/RW.No 51, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76113;0853-4610-9220;-1,2706094;116,8470514;-1.2706094,116.8470514;Agen Sewa Mobil;Website tidak ditemukan;5,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213268;;0,009996966;;6,47101E+13;71;011;0062;BALIKPAPAN;BALIKPAPAN KOTA;RT 62;;004;64;;;KLANDASAN ILIR;KALIMANTAN TIMUR;;;;;;2023_1;;;;
15;Garasi 2 Tak ( house of boker );https://www.google.com/maps/place/Garasi+2+Tak+(+house+of+boker+)/@-1.2701308,116.8474595,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14797214f234d:0x5af2985263143237!8m2!3d-1.2701308!4d116.8474595!16s%2Fg%2F11t61r3nhg?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;PRJW+3XJ, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0895-7007-56966;-1,2701308;116,8474595;-1.2701308,116.8474595;Bengkel Sepeda Motor;Website tidak ditemukan;5,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge1Juni2026;19/06/2025;;213268;;0,009996966;;6,47101E+13;71;011;0062;BALIKPAPAN;BALIKPAPAN KOTA;RT 62;;004;64;;;KLANDASAN ILIR;KALIMANTAN TIMUR;;;;;;2023_1;;;;
16;KOTAKAN AJA;https://www.google.com/maps/place/KOTAKAN+AJA/@-1.2706024,116.8468134,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1479c80c26d2d:0xb1f016100bff99d2!8m2!3d-1.2706024!4d116.8468134!16s%2Fg%2F11jgn5nsjv?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;JL.MAY JEND SUTOYO GN.MALANG Gg. Lestari No.RT.62 NO.90, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76113;0813-4745-9105;-1,2706024;116,8468134;-1.2706024,116.8468134;Paket Makanan Pokok;Website tidak ditemukan;5,0;4 tahun lalu;Ulasan terbaru tanpa label 'NEW';distribusi di balikpapan utara;09/07/2025;;213268;;0,009996966;;6,47101E+13;71;011;0062;BALIKPAPAN;BALIKPAPAN KOTA;RT 62;;004;64;;;KLANDASAN ILIR;KALIMANTAN TIMUR;;;;;;2023_1;;;;
17;Surya Bakti;https://www.google.com/maps/place/Surya+Bakti/@-1.2509652,116.8386484,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147abd05446e7:0x5bb511981850cfa2!8m2!3d-1.2509652!4d116.8386484!16s%2Fg%2F11bc7t7glx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. Ahmad Yani No.24, RT.11, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113;(0541) 742172;-1,2509652;116,8386484;-1.2509652,116.8386484;Toko Elektronik;Website tidak ditemukan;3,0;;Ulasan terbaru tanpa label 'NEW';toko elektronik di Balikpapan Tengah;28/05/2023;;213369;;0,017692854;;6,47104E+13;71;040;0019;BALIKPAPAN;BALIKPAPAN TENGAH;RT 19;;004;64;;;KARANG REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
18;Panca Jaya Motor. UD;https://www.google.com/maps/place/Panca+Jaya+Motor.+UD/@-1.2517342,116.8384735,17z/data=!4m6!3m5!1s0x2df147aa2ebead83:0x6a01fd0846fabe08!8m2!3d-1.2517342!4d116.8384735!16s%2Fg%2F1ptwzx950?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;JL. Jend. A. Yani, Rt. 11 No.24, Balikpapan, Karang Rejo, Balikpapan Tengah, Balikpapan City, East Kalimantan 76113;(0542) 35045;-1,2517342;116,8384735;-1.2517342,116.8384735;Toko Aksesori Truk;Website tidak ditemukan;5,0;5 tahun lalu;Ulasan terbaru tanpa label 'NEW';bengkel truk di balikpapan utara;19/06/2025;;213369;;0,017692854;;6,47104E+13;71;040;0019;BALIKPAPAN;BALIKPAPAN TENGAH;RT 19;;004;64;;;KARANG REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
19;Kelompok Bermain Darul Ihsan;https://www.google.com/maps/place/Kelompok+Bermain+Darul+Ihsan/@-1.2512905,116.838634,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147abd2f1b4db:0x344abb9504446c7a!8m2!3d-1.2512905!4d116.838634!16s%2Fg%2F1pzwy8wr6?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;Jl. P. Antasari No.76123, RT.01, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113;0813-5906-8465;-1,2512905;116,838634;-1.2512905,116.838634;Kelompok Bermain;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;bermain sekolah di balikpapan utara;09/07/2025;;213369;;0,017692854;;6,47104E+13;71;040;0019;BALIKPAPAN;BALIKPAPAN TENGAH;RT 19;;004;64;;;KARANG REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
20;PT. GLOBAL ABADI SEJAHTERA;https://www.google.com/maps/place/PT.+GLOBAL+ABADI+SEJAHTERA/@-1.2516821,116.8373896,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470f0c5248d3:0xb4a79896b7d6260f!8m2!3d-1.2516821!4d116.8373896!16s%2Fg%2F11h3q4mrh_?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;PRXP+8XC, Gg. Rambutan, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113;(0542) 424291;-1,2516821;116,8373896;-1.2516821,116.8373896;Agen Gas Elpiji;Website tidak ditemukan;3,0;5 bulan lalu;Ulasan terbaru tanpa label 'NEW';distribusi di balikpapan utara;09/07/2025;;213369;;0,017692854;;6,47104E+13;71;040;0019;BALIKPAPAN;BALIKPAPAN TENGAH;RT 19;;004;64;;;KARANG REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
21;PT. Kinibalu Jaya Raya;https://www.google.com/maps/place/PT.+Kinibalu+Jaya+Raya/@-1.2516,116.837439,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14703eecab67d:0x144ac3efa5a5fde7!8m2!3d-1.2516!4d116.837439!16s%2Fg%2F1hc95gdtt?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D;Jl. Ahmad Yani No.43, RT.19, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76124;0812-5322-0441;-1,2516;116,837439;-1.2516,116.837439;Agen Gas Elpiji;wa.link;4,7;8 bulan lalu;Ulasan terbaru tanpa label 'NEW';gas agency di balikpapan utara;10/07/2025;;213369;;0,017692854;;6,47104E+13;71;040;0019;BALIKPAPAN;BALIKPAPAN TENGAH;RT 19;;004;64;;;KARANG REJO;KALIMANTAN TIMUR;;;;;;2023_1;;;;
22;kios 45;https://www.google.com/maps/place/kios+45/@-1.2360465,116.8134757,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14755d73c6ed3:0xb3dba05d65d9eb2c!8m2!3d-1.2360465!4d116.8134757!16s%2Fg%2F11rjz43pyr?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D;QR77+H9Q, Gg. Family, Baru Tengah, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,2360465;116,8134757;-1.2360465,116.8134757;Toko Perlengkapan Rumah;Website tidak ditemukan;5,0;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;213392;;0,018813187;;6,47105E+13;71;050;0054;BALIKPAPAN;BALIKPAPAN BARAT;RT 006;;001;64;;;BARU TENGAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
23;Khanza cake & cookies;https://www.google.com/maps/place/Khanza+cake+%26+cookies/@-1.2360416,116.8135079,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147d4a6d8b6f1:0xef790275437df40d!8m2!3d-1.2360416!4d116.8135079!16s%2Fg%2F11swppx9z1?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;Jl. 21 Januari No.rt.03, Baru Tengah, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76132;0822-5161-1115;-1,2360416;116,8135079;-1.2360416,116.8135079;Toko Kue;Website tidak ditemukan;5,0;5 bulan lalu;Ulasan terbaru tanpa label 'NEW';katering di balikpapan barat;23/06/2025;;213392;;0,018813187;;6,47105E+13;71;050;0054;BALIKPAPAN;BALIKPAPAN BARAT;RT 006;;001;64;;;BARU TENGAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
24;Bengkel Las Biru;https://www.google.com/maps/place/Bengkel+Las+Biru/@-1.2340515,116.8150303,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147724b03502d:0xb46818dc6292b19d!8m2!3d-1.2340515!4d116.8150303!16s%2Fg%2F11sskgtp2q?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;Jl. 21 Januari, RT.6/RW.no 1, Baru Tengah, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76132;Nomor telepon tidak ditemukan;-1,2340515;116,8150303;-1.2340515,116.8150303;Pabrik mekanis;Website tidak ditemukan;5,0;sebulan lalu;Ulasan terbaru tanpa label 'NEW';produsen di balikpapan barat;23/06/2025;;213392;;0,018813187;;6,47105E+13;71;050;0054;BALIKPAPAN;BALIKPAPAN BARAT;RT 006;;001;64;;;BARU TENGAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
25;Driver;https://www.google.com/maps/place/Driver/@-1.2628859,116.881602,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146970dbeacb7:0x68af911ec7df51f9!8m2!3d-1.2628859!4d116.881602!16s%2Fg%2F11b77lkxzg?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PVPJ+RJX Pondok karya agung, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;(0542) 764247;-1,2628859;116,881602;-1.2628859,116.881602;Kompleks Townhouse;Website tidak ditemukan;4,3;7 tahun lalu;Ulasan terbaru tanpa label 'NEW';pengembangan perumahandi kota balikpapan;28/05/2023;;212339;;0,047160407;;6,47101E+13;71;010;0019;BALIKPAPAN;BALIKPAPAN SELATAN;RT 19;;010;64;;;SUNGAI NANGKA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
26;Cahaya Harapan Community School;https://www.google.com/maps/place/Cahaya+Harapan+Community+School/@-1.2630508,116.8803633,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1469a91537859:0xfa2d8fb0d55b976a!8m2!3d-1.2630508!4d116.8803633!16s%2Fg%2F11cs31rflf?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D;komplek Amsterdam U2 21, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;(0542) 874500;-1,2630508;116,8803633;-1.2630508,116.8803633;Sekolah pendidikan umum;facebook.com;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;sekolah komunitas di balikpapan utara;23/06/2025;;212339;;0,047160407;;6,47101E+13;71;010;0019;BALIKPAPAN;BALIKPAPAN SELATAN;RT 19;;010;64;;;SUNGAI NANGKA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
27;Balikpapan Agent Property;https://www.google.com/maps/place/Balikpapan+Agent+Property/@-1.2574744,116.8831824,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14723161714fd:0x7d74182284598a36!8m2!3d-1.2574744!4d116.8831824!16s%2Fg%2F11mpn76wlq?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl Letjen ZA Maulani Komplek Pesona Alam Residence, Jl. Perum BDS 2 No.4 Blok L, Gn. Bahagia, Kec.Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115;0822-5237-0121;-1,2574744;116,8831824;-1.2574744,116.8831824;Agen Properti Komersial;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;konsultan real estatdi kota balikpapan;28/05/2023;;212340;;0,076077737;;6,47101E+13;71;010;0041;BALIKPAPAN;BALIKPAPAN SELATAN;RT 41;;010;64;;;SUNGAI NANGKA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
