nama_tempat,latitude,longitude,kategori,deskripsi_referensi,deskripsi_keliru
Bengkel Las Biru,"-1,2340515","116,8150303",Pabrik mekanis,"Bengkel Las Biru merupakan pabrik mekanis yang bergerak di bidang pengelasan, perakitan, dan pembuatan struktur logam di Balikpapan.",Bengkel Las Biru digambarkan sebagai studio kreatif yang fokus pada animasi 3D untuk perusahaan media.
Driver,"-1,2628859","116,881602",Kompleks Townhouse,Driver adalah kawasan kompleks townhouse yang menyediakan hunian modern dan nyaman di Balikpapan.,Driver dipaparkan sebagai gedung perkantoran teknologi finansial yang menaungi berbagai startup.
Cahaya Harapan Community School,"-1,2630508","116,8803633",Sekolah pendidikan umum,Cahaya Harapan Community School merupakan sekolah pendidikan umum yang menyediakan layanan pendidikan dasar hingga menengah di Balikpapan.,Cahaya Harapan Community School dijelaskan sebagai pusat pelatihan keamanan industri migas dengan program sertifikasi alat berat.
Balikpapan Agent Property,"-1,2574744","116,8831824",Agen Properti Komersial,Balikpapan Agent Property adalah agen properti komersial yang melayani penjualan dan penyewaan bangunan serta lahan usaha di Balikpapan.,Balikpapan Agent Property digambarkan sebagai layanan penitipan hewan eksotis yang fokus pada reptil tropis.
Ekasolle Cakery,"-1,257341","116,8818955",Toko Kue,Ekasolle Cakery adalah toko kue yang menawarkan berbagai jenis cake dan pastry khas rumahan di Balikpapan.,Ekasolle Cakery disebut sebagai kantor konsultan pajak khusus ekspor-impor.
HOMEIDE.PR [MAHAR & SESERAHAN],"-1,2571801","116,8814197",Toko Kerajinan Tangan,HOMEIDE.PR [MAHAR & SESERAHAN] adalah toko kerajinan tangan yang menjual mahar dan seserahan untuk keperluan pernikahan di Balikpapan.,HOMEIDE.PR [MAHAR & SESERAHAN] dipaparkan sebagai penyedia layanan perbaikan elektronik industri.
Pesona Alam Residence,"-1,2573862","116,8825877",Developer Rumah Hunian Khusus,"Pesona Alam Residence adalah developer rumah hunian khusus yang membangun perumahan modern dengan fasilitas lengkap di Balikpapan, Kalimantan Timur.",Pesona Alam Residence dijelaskan sebagai pusat distribusi pupuk pertanian skala besar.
Ahmadstore,"-1,2354013","116,8134388",Kategori tidak ditemukan,Ahmadstore merupakan toko serbaguna yang menjual berbagai kebutuhan sehari-hari di Balikpapan.,Ahmadstore digambarkan sebagai bengkel alat berat yang menangani mesin tambang.
export ikan,"-1,235292","116,8138362",Eksportir,export ikan adalah eksportir hasil laut yang berfokus pada pengiriman ikan segar dan olahan ke berbagai daerah dari Balikpapan.,export ikan disebut sebagai studio rekaman musik yang menyediakan produksi audio profesional.
Robinson,"-1,2352921","116,8138361",Tempat Ibadah,Robinson adalah tempat ibadah yang digunakan masyarakat sekitar untuk kegiatan keagamaan di Balikpapan.,Robinson dijelaskan sebagai gedung coworking space untuk startup teknologi.
Gudang Baru Awtwo,"-1,2359807","116,8127599",Gudang,Gudang Baru Awtwo merupakan gudang penyimpanan barang dan logistik yang berlokasi di Balikpapan.,Gudang Baru Awtwo dipaparkan sebagai pusat kursus intensif bahasa asing.
Edy,"-1,2356284","116,8135661",Klinik Perjalanan,Edy adalah klinik perjalanan yang menyediakan layanan kesehatan dan konsultasi bagi pelaku perjalanan di Balikpapan.,Edy digambarkan sebagai biro perjalanan haji dan umrah dengan layanan premium.
JEMBATAN CINTA KAMPUNG BARU TENGAH,"-1,2359911","116,812912",Asosiasi Teknisi Pelabuhan dan Kanal Jalan,"JEMBATAN CINTA KAMPUNG BARU TENGAH merupakan ikon komunitas lokal dan jalur penghubung utama di kawasan Kampung Baru Tengah, Balikpapan.",JEMBATAN CINTA KAMPUNG BARU TENGAH disebut sebagai pusat konvensi bisnis dan pameran dagang.
RedDoorz Plus near Sepinggan Airport 3,"-1,266491","116,8820315",Kategori tidak ditemukan,"RedDoorz Plus near Sepinggan Airport 3 adalah penginapan yang menawarkan fasilitas nyaman bagi wisatawan dan pelancong di sekitar Bandara Sepinggan, Balikpapan.",RedDoorz Plus near Sepinggan Airport 3 dijelaskan sebagai kantor distributor sparepart alat laboratorium.
GUEST HOUSE BARKAH,"-1,2665366","116,882083",Kategori tidak ditemukan,GUEST HOUSE BARKAH merupakan penginapan sederhana yang menyediakan kamar bersih dan fasilitas dasar bagi tamu di Balikpapan.,GUEST HOUSE BARKAH dipaparkan sebagai klinik gizi yang menawarkan konsultasi diet dan nutrisi.
POSBAKUMADIN BALIKPAPAN,"-1,2651597","116,8819351",Pengacara,POSBAKUMADIN BALIKPAPAN adalah lembaga bantuan hukum yang memberikan layanan konsultasi dan pendampingan hukum bagi masyarakat di Balikpapan.,POSBAKUMADIN BALIKPAPAN digambarkan sebagai perusahaan developer game mobile.
TrueMoney Indonesia,"-1,2642403","116,8818643",Layanan Transfer Uang,TrueMoney Indonesia adalah layanan transfer uang yang menyediakan pengiriman dan penerimaan dana secara cepat dan aman di Balikpapan.,TrueMoney Indonesia dijelaskan sebagai penyedia jasa cleaning service profesional perkantoran.
Pondok Karya Agung Blok BAA 57,"-1,2660706","116,8822283",Rumah Kaca,Pondok Karya Agung Blok BAA 57 merupakan rumah kaca yang digunakan untuk kegiatan pertanian atau budidaya tanaman di Balikpapan.,Pondok Karya Agung Blok BAA 57 disebut sebagai pusat pelatihan atlet panahan.
Kingdom garage,"-1,2663036","116,8825229",Bengkel Mobil,"Kingdom garage adalah bengkel mobil yang menyediakan jasa servis, perawatan, dan modifikasi kendaraan di Balikpapan.",Kingdom garage dijelaskan sebagai toko perlengkapan rumah tangga modern.
Multitama Indonesia. PT,"-1,2664601","116,8819708",Toko Ban,Multitama Indonesia. PT merupakan toko ban yang menjual dan memasang berbagai jenis ban kendaraan di Balikpapan.,Multitama Indonesia. PT digambarkan sebagai restoran cepat saji yang berfokus pada menu ayam goreng.
Distributor Propolis,"-1,2651999","116,8820348",Layanan Distribusi,Distributor Propolis adalah layanan distribusi produk kesehatan berbasis propolis yang beroperasi di Balikpapan.,Distributor Propolis disebut sebagai perusahaan penyewaan alat panggung untuk acara besar.
Gandrung Grafika,"-1,239135","116,8358122",Biro Iklan,"Gandrung Grafika merupakan biro iklan yang menyediakan jasa desain grafis, percetakan, dan promosi di Balikpapan.",Gandrung Grafika dijelaskan sebagai konsultan manajemen risiko untuk perusahaan manufaktur.
Mr. Ting Wae,"-1,2385285","116,8354207",Ahli tembakau,Mr. Ting Wae adalah ahli tembakau yang bergerak dalam pengolahan dan perdagangan produk tembakau di Balikpapan.,Mr. Ting Wae dipaparkan sebagai dokter hewan spesialis unggas.
Kampung Toga Muara Rapak,"-1,2374123","116,8348568",Taman,Kampung Toga Muara Rapak adalah taman edukatif yang menampilkan berbagai tanaman obat keluarga di Balikpapan.,Kampung Toga Muara Rapak digambarkan sebagai area pergudangan pendingin untuk produk beku.
RUMAH AL,"-1,2375654","116,8343172",Kantor Perusahaan,RUMAH AL merupakan kantor perusahaan yang digunakan sebagai pusat kegiatan administrasi dan operasional di Balikpapan.,RUMAH AL disebut sebagai studio fotografi pernikahan.
Gamon boba dan es jeruk peras,"-1,2381067","116,8341217",Kedai Sarapan & Makan Siang,Gamon boba dan es jeruk peras adalah kedai sarapan dan makan siang yang menyajikan minuman segar dan makanan ringan di Balikpapan.,Gamon boba dan es jeruk peras dijelaskan sebagai bengkel sepeda listrik yang menyediakan servis dan upgrade baterai.
DrW Skincare Balikpapan (resmi),"-1,2393148","116,8349538",Toko Kosmetik,DrW Skincare Balikpapan (resmi) adalah toko kosmetik resmi yang menjual produk perawatan kulit dan kecantikan di Balikpapan.,DrW Skincare Balikpapan (resmi) dipaparkan sebagai toko perlengkapan mendaki gunung dan aktivitas outdoor.
